,Country,Geographic coordinates,Map references,Geography: Area - total,Military service age and obligation,Terrorism: Terrorist group(s),Military and Security: Military - note,LATITUDE,LONGITUDE,2020 Real GDP,2019 Real GDP,2018 Real GDP,GDP Growth Rate Est 1,GDP Growth Rate Est 2,GDP Growth Rate Est 3,GDP per Capita Est 1,GDP per Capita Est 2,GDP per Capita Est 3,Econ: Current Acct Bal Est 1,Econ: Current Acct Bal Est 2,Exports Est 1,Exports Est 2,Top Export - Country & %,Foreign Exchange & Gold - latest est,Total Population Electrification (2020 - 2019),Unemployment Rate (recent),Percent Population below poverty line,Population below poverty line - Year Recorded,Household income or consumption by % (-highest 10%),Household income or consumption by % (year recorded),Population (as of 2022),Percent of People 14 yrs and under,males 14 yrs and under,females 14 yrs and under,Percent of People 15-24 yrs and under,males between 15-24 years,females between 15-24 years,Percent of People 25-54 yrs,males 25-54 yrs,females 25-54 yrs,Percent of People 55-64,males 55-64 yrs,females 55-64 yrs,Median Age (in years),Male Median Age (in years),Female Median Age (in years),Population growth rate (2022 est),"Birth rate (births/1,000 population, 2022 est)","Death rate (births/1,000 population, 2022 estimates)","Net migration rate (migrant(s)/1,000 population, 2022 est.)",Urban Population (- % of total pop as of 2022),Sex ratio at Birth (male(s)/female),65 & Older Sex Ratio (male(s)/female),"Total Pop Sex Ratio (male(s)/female, as of 2022","Total Infant Mortality Rate (deaths/1,000 live births)",Total Pop Life expectancy at birth (in years),Male Life expectancy at birth (in years),"Female Life expectancy at birth (in years, 2022 est.)",Total fertility rate (children born/woman (2022 est.),Adult Obesity Prev Rate in percentages (2016 est.),Total Tobacco use in percentages (2020 est.),Total Internet Users (2020 est.),Internet users - % of Pop (2020 est.),2021 Military expenditures (as percent of GDP),2020 Military expenditures (as percent of GDP),2019 Military expenditures (as percent of GDP)
52,Colombia,"4 00 N, 72 00 W",South America,"1,138,910 sq km","18-24 years of age for compulsory (men) and voluntary (men and women) military service; conscript service obligation is 18 months; conscripted soldiers reportedly include regular soldiers (conscripts without a high school degree), drafted high school graduates (bachilleres), and rural (campesino) soldiers who serve in their home regions (2022)note - in 2020, conscripts reportedly comprised about 50% of the Colombian military's active force with approximately 60-90,000 conscripts brought into the military annually",National Liberation Army (ELN); Revolutionary Armed Forces of Colombia - People's Army (FARC-EP); Segunda Marquetalia,"as of 2022, the Colombian Armed Forces were primarily focused on internal security, particularly counter-narcotics, counter-terrorism, and counterinsurgency operations against drug traffickers, militants from several factions of the Revolutionary Armed Forces of Colombia (FARC) and National Liberation Army (ELN) terrorist/guerrilla organizations, and other illegal armed groups; the Colombian Government signed a peace agreement with the FARC in 2016, but some former members (known as dissidents) have returned to fighting (note - these dissident groups include the designated terrorist groups Revolutionary Armed Forces of Colombia - People's Army or FARC-EP and Segunda Marquetalia; see Appendix T); the Colombian military resumed operations against FARC dissidents and their successor paramilitary groups in late 2019; in 2017, the Colombian Government initiated formal peace talks with the ELN, but in January 2019, the government ended the peace talks shortly after the ELN exploded a car bomb at the National Police Academy in Bogotá and resumed counter-terrorism/counterinsurgency operations against the group; operations against the FARC dissident groups and the ELN continued into 2022 (see Appendix T); the military was also focused on the security challenges posed by its neighbor, Venezuela, where instability has attracted narcotics traffickers and both the ELN and FARC dissidents, including FARC-EP and Segunda Marquetalia, operate openly",4 00 N, 72 00 W,683.94 ,734.22  ,734.22  ,3.26% (2019 est,2.51% (2018 es,1.36% (2017 e,"13,400 (2020 est.)","14,600 (2019 est.)","14,300 (2018 es",-$13.748 billion (2019 est,)-$13.118 billion (2018 est.),39.14 billion (2020 est.),52.96 billion (2019 et.),United States 3,47.13 billion (31 December 2017 est.),97% ,10.5,35.7%, 2019 ,39.6, 2015 ,"49,059,221 ",23.27," 5,853,351",5567196,16.38,4098421,3939870,42.04,10270516,10365423,9.93%,2307705,10365423,31.2,30.2,32.2,0.59%,15.21,7.73 ,-1.58,82% o,1.05 ,0.65 ,0.96,11.65,74.89,71.27,78.69,1.95 ,22.3%,8.5% ,35618019,70% ,3% ,)3%,3.1%
62,Cyprus,"35 00 N, 33 00 E",Middle East,"9,251 sq km (of which 3,355 sq km are in north Cyprus)",Cypriot National Guard (CNG): 18-50 years of age for compulsory military service for all Greek Cypriot males; 17 years of age for voluntary service; 14-month service obligation (2021),Islamic State of Iraq and ash-Sham (ISIS),the United Nations Peacekeeping Force in Cyprus (UNFICYP) was set up in 1964 to prevent further fighting between the Greek Cypriot and Turkish Cypriot communities on the island and bring about a return to normal conditions; the UNFICYP mission had about 850 personnel as of February 2022,35 00 N, 33 00 E,33.67  ,5.48   ,5.48   ,3.08% (2019 est,5.25% (2018 es,5.16% (2017 e,"37,700 (2020 est.)","40,200 (2019 est.)","39,600 (2018 es",-$1.578 billion (2019 est.,-$958 million (2018 est.),16.1 billion (2020 est.) ,17.92 billion (2019 et.) ,"India 9%, Greec",888.2 million (31 December 2017 est.),100%,7.07,14.7%, 2018 ,28.8, 2014,"1,295,102 ",15.69," 102,095",96676,12.29,84832,0879,47.12,316710,280167,11.92,72476,280167,37.9,36.7,39.4,1.06%,10.57,6.94 ,6.96 ,66.9%,1.05 ,0.55 ,0.93,8.36 ,79.74,76.93,82.68,1.48 ,21.8%,35.1%,1098699 ,91% ,2% ,)1.8%,1.6%
64,Denmark,"56 00 N, 10 00 E",Europe,"43,094 sq km","18 years of age for compulsory and voluntary military service; conscripts serve an initial training period that varies from 4 to 12 months depending on specialization; former conscripts are assigned to mobilization units; women eligible to volunteer for military service; in addition to full time employment, the Danish Military offers reserve contracts in all three branches (2021)note(s) - women have been able serve in all military occupations, including combat arms, since 1988; as of 2019, they made up about 8% of the military's full-time personnel; conscientious objectors can choose to instead serve 6 months in a non-military position, for example in Beredskabsstyrelsen (dealing with non-military disasters like fires, flood, pollution, etc.) or overseas foreign aid work",Islamic State of Iraq and ash-Sham (ISIS); Islamic Revolutionary Guard Corps/Qods Force,"Denmark is a member of NATO and was one of the original 12 countries to sign the North Atlantic Treaty (also known as the Washington Treaty) in 1949Denmark is a member of the EU, but opted out of the EU’s Common Defense and Security Policy, and therefore does not participate in EU military operations or in the cooperation on development and acquisition of military capabilities within the EU framework the Danish Armed Forces cooperate closely with the militaries of other Nordic countries through the Nordic Defense Cooperation (NORDEFCO), which consists of Denmark, Finland, Iceland, Norway, and Sweden; areas of cooperation include armaments, education, human resources, training and exercises, and operations; NORDEFCO was established in 2009in 2018, the Defense Ministers of Belgium, Denmark and the Netherlands signed a Memorandum of Understanding (MOU) for the creation of a Composite Special Operations Component Command (C-SOCC); the C-SOCC was declared operational in December 2020 (2022)",56 00 N, 10 00 E,326.2  ,35.36   ,35.36   ,2.85% (2019 est,2.18% (2018 es,2.83% (2017 e,"55,900 (2020 est.)","57,700 (2019 est.)","56,300 (2018 es",$30.935 billion (2019 est.,$24.821 billion (2018 est.),191.53 billion (2020 est.,204.14 billion (2019 et,"Germany 14%, Un",75.25 billion (31 December 2017 est.),100%,3.05,12.5%, 2018 ,23.4, 2016 ,"5,920,767 ",16.42," 494,806",469005,12.33,370557,352977,38.71,1149991,1122016,12.63,370338,1122016,42 y,40.9,43.1,0.44%,11.22,9.52 ,2.73 ,88.4%,1.07 ,0.7 m,0.99,3.04 ,81.66,79.74,83.71,1.77 ,19.7%,17.5%,5656462 ,97% ,1.4,1.4%,21.3%
70,Egypt,"27 00 N, 30 00 E",Africa,"1,001,450 sq km","voluntary enlistment possible from age 16 (men and women); 18-30 years of age for male conscript military service; service obligation - 14-36 months, followed by a 9-year reserve obligation; active service length depends on education; high school drop-outs serve for the full 36 months, while college graduates serve for lesser periods of time, depending on their education (2022)note - as of 2020, conscripts were estimated to comprise over half of the military, as well as a considerable portion of the Central Security Force",Army of Islam; Islamic State of Iraq and ash-Sham – Sinai Province (ISIS-SP); al-Qa’ida,"since 2011, the Egyptian Armed Forces, police, and other security forces have been actively engaged in counterinsurgency and counter-terrorism operations in the North Sinai governorate against several militant groups, particularly the Islamic State of Iraq and ash-Sham – Sinai Province; as of 2022, Egypt had tens of thousands of military troops, police, and other security personnel deployed in the Sinai for internal security duties; in addition, tribal militias were assisting Egyptian security forcesthe military has a large stake in the civilian economy, including running banks, businesses, and shipping lines, producing consumer and industrial goods, importing commodities, and building and managing infrastructure projects, such as bridges, roads, hospitals, and housing; the various enterprises are reportedly profitable enough to make the armed forces largely self-fundedEgypt has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitmentsthe Multinational Force & Observers (MFO) has operated in the Sinai since 1982 as a peacekeeping and monitoring force to supervise the implementation of the security provisions of the 1979 Egyptian-Israeli Treaty of Peace; the MFO is an independent international organization, created by agreement between Egypt and Israel; as of 2022, it was composed of about 1,150 troops from 13 countries; Colombia, Fiji, and the US were the leading providers of troops to the MFO (2022)",27 00 N, 30 00 E,1223040000,1180890000000,1180890000000,4.2% (2017 est.,)4.3% (2016 es.,4.4% (2015 e,"12,000 (2020 est.)","11,800 (2019 est.)","11,400 (2018 es",-$8.915 billion (2019 est.,-$7.682 billion (2018 est.),40.1 billion (2020 est.) ,53.52 billion (2019 et.) ,United States 9,35.89 billion (31 December 2017 est.),100%,7.86,32.5%, 2017 ,26.6, 2008,"107,770,524",33.62," 18,112,55",16889155,18.01,9684437,9071163,37.85,20032310,19376847,6.08%,3160438,19376847,24.1,23.8,24.5,1.68%,21.46,4.32 ,-0.31,43% o,1.06 ,0.89 ,1.06,17.7 ,74.45,73.26,75.72,2.88 ,32% ,24.3%,73680770,72% ,1.3,1.3%,21.3%
76,Ethiopia,"8 00 N, 38 00 E",Africa,"1,104,300 sq km","18 years of age for voluntary military service; no compulsory military service, but the military can conduct callups when necessary and compliance is compulsory (2021)note - in November 2021, the Ethiopian Government issued a nationwide state of emergency that enabled officials to order military-age citizens to undergo training and accept military duty in support of the Tigray conflict",al-Shabaab; IRGC/Qods Force,"each of the nine states has a regional and/or a ""special"" paramilitary security forces that report to regional civilian authorities; local militias operate across the country in loose and varying coordination with these regional security and police forces, the Ethiopian Federal Police (EFP), and the Ethiopian military; the EFP reports to the Ministry of Peace, which was created in October of 2018since November 2020, the Government of Ethiopia has been engaged in a protracted military conflict with the Tigray People’s Liberation Front (TPLF), the former governing party of the Tigray Region; the government deemed a TPLF attack on Ethiopia military forces as a domestic terrorism incident and launched a military offensive in response; the TPLF asserted that its actions were self-defense in the face of planned Ethiopian Government action to remove it from the provincial government; the Ethiopian Government sent large elements of the ENDF into Tigray to remove the TPLF and invited militia and paramilitary forces from the states of Afar and Amara, as well as the military forces of Eritrea, to assist; the fighting included heavy civilian and military casualties with widespread abuses reported; in March 2022, the Ethiopian Government declared a  truce to facilitate the flow of humanitarian aid into the Tigray region; the TPLF reciprocated with a truce of its own; since the announcement, both sides have reportedly observed the truce, although tensions remained high; in June 2022, ABIY announced that the Ethiopian Government had set up a committee to negotiate with the TPLFthe military forces of the Tigray regional government are known as the Tigray Defense Force (TDF); the TDF is comprised of state paramilitary forces, local militia, and troops that defected from the ENDF; it reportedly had up to 250,000 fighters at the start of the conflict",8 00 N, 38 00 E,264.05 ,248.97  ,248.97  ,10.9% (2017 est,8% (2016 es,0.4% (2015 e,"2,300 (2020 est.)","2,200 (2019 est.)2",")2,100 (2018 es",-$6.551 billion (2017 est.,-$6.574 billion (2016 est.),7.62 billion (2018 est.) ,2.814 billion (2016 et.),"China 17%, Unit",3.013 billion (31 December 2017 est.),47% ,17.5,23.5%, 2015 ,25.6, 2005,"113,656,596",39.81," 21,657,15",21381628,19.47,1050614,10542128,32.92,17720540,17867298,4.42%,2350606,17867298,19.8,19.6,20.1,2.46%,30.49,5.7 d,-0.19,22.7%,1.03 ,0.68 ,0.99,33.51,68.25,66.12,70.44,3.99 ,4.5% ,5.1% ,27591260,24% ,0.5,0.5%,200.6%
88,Germany,"51 00 N, 9 00 E",Europe,"357,022 sq km","17-23 years of age for male and female voluntary military service (must have completed compulsory full-time education and have German citizenship); conscription ended July 2011; service obligation 7-23 months or 12 years; women have been eligible for voluntary service in all military branches and positions since 2001 (2022)note - in 2021, women accounted for about 12% of the German military",Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (ISIS),"the Federal Republic of Germany joined NATO in May 1955; with the reunification of Germany in October 1990, the states of the former German Democratic Republic joined the Federal Republic of Germany in its membership of NATOthe German Army has incorporated a joint Franco-German mechanized infantry brigade since 1989, a Dutch airmobile infantry brigade since 2014, and a Dutch mechanized infantry brigade since 2016; in addition, the German Navy’s Sea Battalion (includes marine infantry, naval divers, reconnaissance, and security forces) has worked closely with the Dutch Marine Corps since 2016, including as a binational amphibious landing group (2022)",51 00 N, 9 00 E,4238800000,4457050000000,4457050000000,0.59% (2019 est,1.3% (2018 es,)2.91% (2017 e,"50,900 (2020 est.)","53,600 (2019 est.)","53,500 (2018 es",$280.238 billion (2019 est,)$297.434 billion (2018 est.),"1,671,650,000,000 (2020 e","lar1,813,190,000,000 (20",United States 9,200.1 billion (31 December 2017 est.),100%,4.98,14.8%, 2018 ,24% ,2000,"84,316,622 ",12.89," 5,302,850",5025863,9.81%,4012412,3854471,38.58,15553328,15370417,15.74,6297886,15370417,47.8,46.5,49.1,-0.11,9.08 ,11.98,1.78 ,77.6%,1.05 ,0.7 m,0.98,3.19 ,81.51,79.15,84 ye,1.57 ,22.3%,22% ,74844784,90% ,1.5,1.5%,21.4%
91,Greece,"39 00 N, 22 00 E",Europe,"131,957 sq km","19-45 years of age for compulsory military service; 12-month obligation for all services (note - as an exception, the duration of the full military service is 9 instead of 12 months if conscripts, after the initial training, serve the entire remaining time in certain areas of the eastern borders, in Cyprus, or in certain military units); 18 years of age for volunteers; women are eligible for voluntary military service (2021)note(s) - approximately 40-50% of the Greek military is comprised of conscripts; as of 2019, women comprised approximately 19% of the full-time military personnel",Islamic State of Iraq and ash-Sham (ISIS); Revolutionary Struggle; Revolutionary People's Liberation Party/Front (DHKP/C),Greece joined NATO in 1952,39 00 N, 22 00 E,292.4  ,18.68   ,18.68   ,1.87% (2019 est,1.91% (2018 es,1.44% (2017 e,"27,300 (2020 est.)","29,700 (2019 est.)","29,200 (2018 es",-$3.114 billion (2019 est.,-$6.245 billion (2018 est.),59.02 billion (2020 est.),81.18 billion (2019 et.),"Italy 10%, Germ",7.807 billion (31 December 2017 est.),100%,17.3,17.9%, 2018 ,26.7, 2015 ,"10,533,871 ",14.53," 794,918",745909,10.34,577134,519819,39.6%,2080443,2119995,13.1%,656404,2119995,45.3,43.7,46.8,-0.34,7.61 ,12.04,1 ,80.4%,1.07 ,0.71 ,0.95,3.55 ,81.49,78.96,84.2 ,1.4 ,24.9%,33.5%,8346434 ,78% ,3.6,2.9%,22.3%
108,India,"20 00 N, 77 00 E",Asia,"3,287,263 sq km","16-18 years of age for voluntary military service (Army 17.5, Air Force 17, Navy 16.5); no conscription (2022)note(s) - in June 2022, the Indian Government announced that it would begin recruiting 46,000 men aged 17.5-21 annually to serve on 4-year contracts; at the end of their tenure, 25% would be retained for longer terms of service, while the rest would be forced to retire, although some of those leaving the service would be eligible to serve in the Coast Guard, the Merchant Navy, civilian positions in the Ministry of Defense, and in the paramilitary forces of the Ministry of Home Affairs, such as the Central Armed Police Forces and Assam Rifles- as of 2021, women made up about .56% of the Army, 1.1% of the Air Force, and 6.5% of the Navy",Harakat,"as of 2022, the Indian Armed Forces were chiefly focused on China and Pakistan; the short 1962 Sino-India War left in place one of the world’s longest disputed international borders, resulting in occasional standoffs between Indian and Chinese security forces, including lethal clashes in 1975 and 2020; meanwhile, India and Pakistan have fought several conflicts since 1947, including the Indo-Pakistan War of 1965 and the Indo-Pakistan and Bangladesh War of Independence of 1971, as well as two clashes over the disputed region of Kashmir (the First Kashmir War of 1947 and the 1999 Kargil Conflict); a fragile cease-fire in Kashmir was reached in 2003, revised in 2018, and reaffirmed in 2021, although the Line of Control remained contested as of 2022, and India has accused Pakistan of backing armed separatists and terrorist organizations in Jammu and Kashmir where Indian forces have conducted counterinsurgency operations since the 1980s; in addition, India and Pakistan have battled over the Siachen Glacier of Kashmir, which was seized by India in 1984 with Pakistan attempting to retake the area at least three times between 1985 and 1995; despite a cease-fire, as of 2022 both sides continued to maintain a permanent military presence there with outposts at altitudes above 20,000 feet (over 6,000 meters) where most casualties were due to extreme weather and the hazards of operating in the high mountain terrain of the world’s highest conflict, including avalanches, exposure, and altitude sickness (2022)",20 00 N, 77 00 E,8443360000,9174040000000,9174040000000,4.86% (2019 est,6.78% (2018 es,6.55% (2017 e,"6,100 (2020 est.)","6,700 (2019 est.)6",")6,500 (2018 es",-$29.748 billion (2019 est,)-$65.939 billion (2018 est.),484.95 billion (2020 est.,546.03 billion (2019 et,United States 1,409.8 billion (31 December 2017 est.),99% ,8.5%,21.9%, 2011 ,29.8, 2011,"1,389,637,4",26.31," 185,017,0",163844572,17.51,1234235,108739780,41.56,28527566,265842319,7.91%,52444817,265842319,28.7,28 y,29.5,0.67%,16.82,10.3 ,0.16 ,35.9%,1.1 m,0.71 ,1.06,30.31,67.22,65.46,69.16,2.1 ,3.9% ,27.2%,593.4 ,43% ,2.2,2.6%,202.4%
109,Indonesia,"5 00 S, 120 00 E",Southeast Asia,"1,904,569 sq km","18-45 years of age for voluntary military service, with selective conscription authorized (males, age 18), but not utilized; 2-year service obligation, with reserve obligation to age 45 (officers) (2021)",Islamic State of Iraq and ash-Sham (aka Jemaah Anshorut Daulah); Jemaah Islamiyah,"as of 2022, Indonesian military and police forces were engaged in counter-insurgency operations in Papua against the West Papua Liberation Army, the military wing of the Free Papua Organization, which has been fighting a low-level insurgency since the 1960s when Indonesia annexed the former Dutch colony; since 2019, there has been an increase in militant activity in Papua and a larger Indonesian military presence; Papua was formally incorporated into Indonesia in 1969; in addition, the Indonesian military has been assisting police in Sulawesi in countering the Mujahideen Indonesia Timur (MIT; aka East Indonesia Mujahideen), a local Islamic State (ISIS)-affiliated terrorist group Indonesia is not a formal claimant in the South China Sea, although some of its waters lie within China's “nine-dash line” maritime claims, resulting in some stand offs in recent years; since 2016, the Indonesian military has bolstered its presence on Great Natuna Island (aka Pulau Natuna Besar), the main island of the Middle Natuna Archipelago, which is part of the Riau Islands Province, held military exercises in surrounding waters, and increased security cooperation (2022)",5 00 S, 120 00 E,3130470000,3196620000000,3196620000000,5.03% (2019 est,5.17% (2018 es,5.07% (2017 e,"11,400 (2020 est.)","11,800 (2019 est.)","11,400 (2018 es",-$30.359 billion (2019 est,)-$30.633 billion (2018 est.),178.26 billion (2020 est.,200.1 billion (2019 et.,"China 15%, Unit",130.2 billion (31 December 2017 est.),99% ,5.31,9.4% ,2019 ,28.2, 2010,"277,329,163",23.87," 32,473,24",31264034,16.76,2278692,21960130,42.56,58249570,55409579,8.99%,11033838,55409579,31.1,30.5,31.8,0.79%,15.32,6.75 ,-0.71,57.9%,1.05 ,0.66 ,1 ,19.73,73.08,70.86,75.4 ,2.01 ,6.9% ,37.6%,14770275,54% ,0.8,0.8%,20.8%
111,Iraq,"33 00 N, 44 00 E",Middle East,"438,317 sq km","18-40 years of age for voluntary military service; no conscription (abolished 2003) (2022)note - in late 2021, the Iraqi Government approved a draft conscription law for the Council of Representatives to debate",Ansar al-Islam; Asa'ib Ahl al-Haq; Islamic Revolutionary Guard Corps (IRGC)/Qods Force; Islamic State of Iraq and ash-Sham (ISIS); Jaysh Rijal al-Tariq al-Naqshabandi; Kata'ib Hizballah; Kurdistan Workers' Party (PKK),"- as of 2022, Iraqi security forces (ISF) continued to conduct counterinsurgency and counter-terrorism operations against the Islamic State of Iraq and ash-Sham (ISIS) terrorist group, particularly in northern and western Iraq; Kurdish Security Forces (KSF, aka Peshmerga) also conducted operations against ISIS- the KSF were formally recognized as a legitimate Iraqi military force under the country’s constitution and have operated jointly with the Iraqi military against ISIS militants, but they also operate outside of Iraqi military command structure; since 2021, the ISF and the KSF have conducted joint counter-ISIS operations in an area known as the Kurdish Coordination Line (KCL), a swath of disputed territory in northern Iraq claimed by both the Kurdistan Regional Government and the central Iraqi Government; the KSF/Peshmerga report to the Kurdistan Regional Government or Kurdistan Democratic Party and Patriotic Union of Kurdistan parties instead of the Iraqi Ministry of Defense- Popular Mobilization Commission and Affiliated Forces (PMF or PMC), also known as Popular Mobilization Units (PMU, or al-Hashd al-Sha’abi in Arabic), tribal militia units have fought alongside the Iraqi military against ISIS since 2014, but the majority of these forces continue to largely ignore the 2016 Law of the Popular Mobilization Authority, which mandated that armed militias must be regulated in a fashion similar to Iraq’s other security forces and act under the Iraqi Government’s direct control; the Iraqi Government funds the PMF, and the prime minister legally commands it, but many of the militia units take orders from associated political parties and/or other government officials, including some with ties to the Iranian Revolutionary Guard Corps (IRGC) and some that have been designated as terrorist organizations by the US; the PMF/PMU is an umbrella organization comprised of many different militias, the majority of which are Shia; there are typically three types of Shia militia: --militias backed by Iran; they are considered the most active and capable, and include such groups as the Badr Organization (Saraya al-Sala), Asaib Ahl al-Haq, and Kataib Hizballah --militias affiliated with Shia political parties, but not aligned with Iran, such as Moqtada al-SADR's Saray al-Salam (Peace Brigades) --militias not connected with political parties, but affiliated with the Najaf-based Grand Ayatollah Ali al-SISTANI (Iraq’s supreme Shia cleric), such as the Hawza militias other PMF/PMU militias include Tribal Mobilization militias, or Hashd al-Asha’iri, which are composed of fighters from Sunni tribes; some of these militias take orders from the ISF and local authorities while others respond to orders from the larger Shia PMU militias; still other militias include Yazidi and Christian militias and the Turkmen brigades; the links of these forces to the PMU is not always clear-cut and may be loosely based on financial, legal, or political incentives - at the request of the Iraqi government, NATO agreed to establish an advisory, training and capacity-building mission for the Iraqi military in October 2018; as of 2022, the NATO Mission Iraq (NMI) had about 500 troops; in December 2021, the task force that leads the defeat ISIS mission in Iraq, Combined Joint Task Force – Operation Inherent Resolve (CJTF-OIR), transitioned from a combat role to an advise, assist, and enable role (2022)",33 00 N, 44 00 E,372.27 ,415.32  ,415.32  ,-2.1% (2017 est,13.1% (2016 es,2.5% (2015 e,"9,300 (2020 est.)","10,600 (2019 est.)","10,300 (2018 es",$4.344 billion (2017 est.),$13.38 billion (2016 est.),50.61 billion (2020 est.),88.9 billion (2019 et.) ,"China 26%, Indi",48.88 billion (31 December 2017 est.),100%,16% ,23% ,2014 ,25.7, 2007 ,"40,462,701 ",37.02," 7,349,868",7041405,19.83,3918433,3788157,35.59,6919569,6914856,4.23%,805397,6914856,21.2,20.8,21.6,2% (2,24.7 ,3.9 d,-0.83,71.4%,1.05 ,0.65 ,1.01,19.62,73.18,71.3 ,75.15,3.25 ,30.4%,18.5%,24133502,60% ,3.7,4.1%,203.8%
112,Ireland,"53 00 N, 8 00 W",Europe,"70,273 sq km","18-25 years of age for male and female voluntary military service recruits to the Defence Forces (18-27 years of age for the Naval Service); 18-26 for cadetship (officer) applicants; 12-year service (5 active, 7 reserves); Irish citizen, European Economic Area citizenship, or refugee status (2022)note - as of 2019, women made up about 7% of the military's full-time personnel",Continuity Irish Republican Army; New Irish Republican Army; Islamic State of Iraq and ash-Sham (ISIS),"the Irish Defense Forces trace their origins back to the Irish Volunteers, a unit established in 1913; the Irish Volunteers took part in the 1916 Easter Rising and the Irish War of Independence, 1919-1921 Ireland has a long-standing policy of military neutrality; however, it participates in international peacekeeping and humanitarian operations, as well as crisis management; Ireland is a signatory of the EU’s Common Security and Defense Policy and has committed a battalion of troops to the EU’s Rapid Reaction Force; Ireland is not a member of NATO, but has a relationship going back to 1997 when it deployed personnel in support of the NATO-led peacekeeping operations in Bosnia and Herzegovina; Ireland joined NATO’s Partnership for Peace program in 1999; Ireland has been an active participate in UN peacekeeping operations since the 1950s",53 00 N, 8 00 W,447.97 ,433.17  ,433.17  ,5.86% (2019 est,9.42% (2018 es,9.49% (2017 e,"89,700 (2020 est.)","87,800 (2019 est.)","84,300 (2018 es",-$44.954 billion (2019 est,)$24.154 billion (2018 est.),502.31 billion (2019 est.,471.6 billion (2018 et.,United States 2,4.412 billion (31 December 2017 est.),100%,4.98,13.1%, 2018 ,27.2, 2000,"5,275,004 ",21.15," 560,338",534570,12.08,316239,308872,42.19,1098058,1085794,10.77,278836,1085794,37.8,37.4,38.2,0.94%,12.32,6.73 ,3.79 ,64.2%,1.06 ,0.71 ,1 ,3.47 ,81.66,79.35,84.1 ,1.92 ,25.3%,20.8%,4586820 ,92% ,0.3,3%,3%(20
114,Israel,"31 30 N, 34 45 E",Middle East,"21,937 sq km","18 years of age for compulsory military service; 17 years of age for voluntary military service; Jews and Druze can be conscripted; Christians, Circassians, and Muslims may volunteer; both sexes are obligated to military service; conscript liability 48 months for officers, 32 months for men of other ranks, 24 for women;  conscript service obligation - 32 months for enlisted men and about 24 months for enlisted women (varies based on military occupation), 48 months for officers; pilots commit to 9-year service; reserve obligation to age 41-51 (men), age 24 (women) (2022)note(s) - women have served in the Israeli military since its establishment in 1948; as of 2021, women made up about 35% of IDF personnel; more than 90% of military specialties, including combat specialties, were open to women and more than 3,000 women were serving in combat units; the IDF's first mixed-gender infantry unit, the Caracal Battalion, was established in 2004; as of 2021, conscripts comprised about 70% of the IDF ground forces",Islamic State of Iraq and ash-Sham (ISIS); Popular Front for the Liberation of Palestine; Palestinian Islamic Jihad,"the United Nations Disengagement Observer Force (UNDOF) has operated in the Golan between Israel and Syria since 1974 to monitor the ceasefire following the 1973 Arab-Israeli War and supervise the areas of separation between the two countries; as of February 2022, UNDOF consisted of about 1,100 personnelas of 2022 and since the outbreak of the Syrian civil war in 2011, Israel has routinely carried out air strikes in Syria targeting Iranian, Iranian-backed militia and Hizballah forces, and some Syrian Government military positions; over the same period, the IDF has carried out numerous strikes against Hizballah in Lebanon in response to attacks on Israeli territory; Israel fought a month-long war in Lebanon with Hizballah in 2006 (see Appendix-T for details on Hizballah) as of 2022, the IDF also conducted frequent operations against the HAMAS and Palestine Islamic Jihad (PIJ) terrorist groups operating out of the Gaza Strip; since seizing control of the Gaza Strip in 2007, HAMAS has claimed responsibility for numerous rocket attacks into Israel and organized protests at the border between Gaza and Israel, resulting in violent clashes, casualties, and reprisal military actions by the IDF; HAMAS and Israel fought an 11-day conflict in May of 2021, which ended in an informal truce; sporadic clashes continued into 2022, including incendiary balloon attacks from Palestinian territory and retaliatory IDF strikes; PIJ has conducted numerous attacks on Israel since the 1980s, including a barrage of mortar and rocket strikes in February 2020 (see Appendix-T for more details on HAMAS and Palestine Islamic Jihad)Israel has Major Non-NATO Ally (MNNA) status with the US; MNNA is a designation under US law that provides foreign partners with certain benefits in the areas of defense trade and security cooperation; while MNNA status provides military and economic privileges, it does not entail any security commitments (2022)",31 30 N, 34 45 E,353.39 ,362.23  ,362.23  ,-2.6% (2020 est,3.28% (2019 es,3.69% (2018 e,"38,300 (2020 est.)","40,000 (2019 est.)","39,400 (2018 es",$20.642 billion (2020 est.,$13.411 billion (2019 est.)$7.888 billion (2018 est.),113.87 billion (2020 est.,115.57 billion (2019 et,United States 2,173.292 billion (2020 est.)113 billio,100%,4.4%,22% ,2014 ,31.3, 2010,"8,914,885 ",26.76," 1,187,819",1133365,15.67,694142,665721,37.2%,1648262,1579399,8.4% ,363262a,1579399,30.4,29.8,31 y,1.44%,17.41,5.05 ,2.02 ,92.8%,1.05 ,0.7 m,1.01,3.56 ,83.35,81.45,85.34,2.56 ,26.1%,21.2%,8293590 ,90% ,5% ,)5%,5.2%
